Company,Vehicle_ID,Type,Latitude,Longitude,Battery_Pct,Range_Miles,Is_Available
Veo,1020986,bicycle,39.968348,-83.004185,,28.14,True
Veo,2ab615fe-2343-52c2-9495-0114e43af938,bicycle,40.007248,-82.998644,,6.67,True
Veo,c003b978-92f0-55b0-8f08-9063d99cdb50,bicycle,39.991319,-83.011068,,12.87,True
Veo,6b62a236-0dfb-5477-9e67-28d47588f171,bicycle,40.00067504053087,-82.98658034651632,,0.0,True
Veo,dab0f6e9-d1e1-5e19-b253-30d7ca65106b,bicycle,39.991994,-83.00648,,28.14,True
Veo,94cb988f-8145-5de1-848d-41b258657b41,bicycle,39.976529837585986,-82.92275598272681,,0.0,True
Veo,68870159-8b4a-5878-8020-8ccd55b0b770,bicycle,39.981978,-83.009983,,23.77,True
Veo,fae44ce4-76c2-5871-8877-18996ff35b84,bicycle,39.977899,-82.949104,,28.14,True
Veo,1022014,bicycle,39.968042,-83.004183,,28.14,True
Veo,a5fdfc0c-e318-5c3c-be44-dd5d8fe0eef3,bicycle,40.010492,-82.970232,,11.11,True
Veo,e17c4fbc-29fe-5f72-ad3a-94e77001d9db,bicycle,40.001108,-82.99572,,28.14,True
Veo,285c10e1-3745-5604-a0ff-5575654eb6d8,scooter,39.944934,-83.063306,,27.77,True
Veo,0edb26ae-bb6f-5638-9009-5e5bf0e19768,scooter,40.010842,-83.000552,,24.06,True
Veo,1982663f-582e-5f7a-a7b5-64628ad168ed,scooter,39.913059,-83.097825,,3.13,True
Veo,abad3ba6-7ee2-5875-af76-53bd6354b79a,scooter,40.055377,-82.996935,,5.59,True
Veo,cc13e755-c098-54ab-884f-3d20e0dfe53d,scooter,39.978527,-83.020963,,28.14,True
Veo,8dddd151-f999-59e9-a5bb-11c387625f1a,scooter,40.121503,-83.108519,,1.83,True
Veo,31561b27-3656-5756-b1da-c3bbb3c63b2d,scooter,39.999271,-83.02153,,26.78,True
